当地时间 北京	T	Po	P	Pa	U
01.01.2022 23:00	-0.6	771.7	775.0		25
01.01.2022 20:00	2.0	770.7	774.0		23
01.01.2022 17:00	5.4	767.4	770.7		19
01.01.2022 14:00	8.3	764.8	768.0		21
01.01.2022 11:00	2.2	765.9	769.2		45
01.01.2022 08:00	-6.4	765.9	769.2		74
01.01.2022 05:00	-5.6	766.1	769.4		70
01.01.2022 02:00	-4.3	767.5	770.8		60
31.12.2021 23:00	-3.9	768.3	771.6		59
31.12.2021 20:00	-3.1	768.7	772.0		54
31.12.2021 17:00	2.8	768.6	771.9		31
31.12.2021 14:00	4.5	769.5	772.8		25
31.12.2021 11:00	1.1	772.8	776.1		29
31.12.2021 08:00	-5.9	772.9	776.2		54
31.12.2021 05:00	-7.0	772.3	775.6		59
31.12.2021 02:00	-5.3	772.1	775.4		50
30.12.2021 23:00	-2.0	772.0	775.3		31
30.12.2021 20:00	0.9	771.1	774.4		24
30.12.2021 17:00	5.0	769.6	772.9		18
30.12.2021 14:00	6.3	769.1	772.4		17
30.12.2021 11:00	5.3	769.6	772.9		18
30.12.2021 08:00	1.5	768.4	771.7		20
30.12.2021 05:00	1.3	768.1	771.4		21
30.12.2021 02:00	-4.8	767.5	770.8		54
29.12.2021 23:00	-2.6	767.7	771.0		40
29.12.2021 20:00	1.4	768.0	771.3		25
29.12.2021 17:00	3.1	767.5	770.8		21
29.12.2021 14:00	4.7	767.2	770.5		18
29.12.2021 11:00	2.5	768.9	772.2		19
29.12.2021 08:00	-0.8	767.8	771.1		22
29.12.2021 05:00	0.2	766.0	769.2		19
29.12.2021 02:00	2.2	764.8	768.0		14
28.12.2021 23:00	-4.3	763.8	767.1		70
28.12.2021 20:00	-2.5	763.3	766.6		55
28.12.2021 17:00	2.8	762.7	766.0		30
28.12.2021 14:00	5.5	763.0	766.2		22
28.12.2021 11:00	1.9	765.5	768.8		28
28.12.2021 08:00	-9.0	766.3	769.6		74
28.12.2021 05:00	-8.2	766.7	770.0		70
28.12.2021 02:00	-7.1	767.9	771.2		65
27.12.2021 23:00	-5.6	768.9	772.2		56
27.12.2021 20:00	-2.5	769.5	772.9		39
27.12.2021 17:00	2.7	769.6	772.9		22
27.12.2021 14:00	5.6	769.8	773.1		16
27.12.2021 11:00	1.4	771.5	774.8		29
27.12.2021 08:00	-9.1	771.6	775.0		65
27.12.2021 05:00	-9.9	772.2	775.6		63
27.12.2021 02:00	-8.8	773.2	776.6		54
26.12.2021 23:00	-6.2	774.4	777.7		35
26.12.2021 20:00	-4.3	775.2	778.6		24
26.12.2021 17:00	-2.7	775.5	778.9		17
26.12.2021 14:00	-1.9	776.5	779.8		14
26.12.2021 11:00	-5.1	778.9	782.2		18
26.12.2021 08:00	-9.4	779.1	782.5		27
26.12.2021 05:00	-10.5	779.2	782.7		28
26.12.2021 02:00	-8.8	780.4	783.9		22
25.12.2021 23:00	-7.9	780.9	784.3		22
25.12.2021 20:00	-6.6	781.0	784.4		19
25.12.2021 17:00	-5.8	780.5	784.0		15
25.12.2021 14:00	-5.8	780.7	784.2		15
25.12.2021 11:00	-7.9	782.5	786.0		19
25.12.2021 08:00	-10.1	781.9	785.4		24
25.12.2021 05:00	-9.3	780.9	784.3		23
25.12.2021 02:00	-8.3	780.3	783.7		19
24.12.2021 23:00	-8.5	779.9	783.4		25
24.12.2021 20:00	-7.0	778.7	782.1		19
24.12.2021 17:00	-5.5	776.9	780.3		18
24.12.2021 14:00	-4.5	776.1	779.5		21
24.12.2021 11:00	-5.8	777.5	780.9		26
24.12.2021 08:00	-7.8	776.5	779.9		33
24.12.2021 05:00	-6.2	774.5	777.9		28
24.12.2021 02:00	-2.3	773.1	776.4		47
23.12.2021 23:00	-1.3	771.9	775.2		48
23.12.2021 20:00	-1.5	770.0	773.3		58
